"student","section","instructor","CL","prior","social","delta","midterm","final_exam","final_grade","precourse.score"
1,"4","Xiang",FALSE,"none",TRUE,0.1,0.72,0.82,0.889,0.238
2,"1","Liu",TRUE,"college",FALSE,0.055,0.7,0.755,0.853,0.19
3,"1","Liu",TRUE,"highschool",TRUE,0.035,0.97,1.005,0.98,0.571
4,"2","Liu",FALSE,"none",TRUE,-0.02,0.95,0.93,0.953,0.667
5,"2","Liu",FALSE,"none",TRUE,0.06,0.84,0.9,0.895,0.667
6,"3","Xiang",TRUE,"none",TRUE,-0.085,0.84,0.755,0.792,0.762
7,"2","Liu",FALSE,"none",TRUE,0.085,0.82,0.905,0.894,0.524
8,"4","Xiang",FALSE,"highschool",TRUE,-0.03,0.94,0.91,0.956,0.571
9,"4","Xiang",FALSE,"none",TRUE,-0.01,0.92,0.91,0.953,0.714
10,"2","Liu",FALSE,"college",FALSE,0.02,0.9,0.92,0.948,0.714
11,"1","Liu",TRUE,"college",TRUE,0.03,0.99,1.02,0.972,0.857
12,"2","Liu",FALSE,"college",TRUE,-0.07,0.94,0.87,0.9,0.857
13,"4","Xiang",FALSE,"none",TRUE,-0.08,0.96,0.88,0.943,0.619
14,"2","Liu",FALSE,"highschool",FALSE,-0.03,0.67,0.64,0.774,0.476
15,"3","Xiang",TRUE,"college",TRUE,-0.04,0.93,0.89,0.95,0.857
16,"1","Liu",TRUE,"highschool",FALSE,-0.02,0.92,0.9,0.938,0.714
17,"1","Liu",TRUE,"highschool",TRUE,-0.14,0.98,0.84,0.872,0.667
18,"2","Liu",FALSE,"none",TRUE,0.41,0.345,0.755,0.838,0.429
19,"4","Xiang",FALSE,"college",TRUE,0.01,0.88,0.89,0.927,0.667
20,"4","Xiang",FALSE,"none",TRUE,-0.035,0.97,0.935,0.974,0.714
21,"3","Xiang",TRUE,"highschool",TRUE,0.28,0.565,0.845,0.876,0.095
22,"3","Xiang",TRUE,"none",TRUE,-0.02,0.99,0.97,0.977,0.143
23,"2","Liu",FALSE,"highschool",TRUE,0.02,0.88,0.9,0.944,0.619
24,"3","Xiang",TRUE,"college",TRUE,0.205,0.29,0.495,0.545,0.286
25,"2","Liu",FALSE,"none",TRUE,0.14,0.76,0.9,0.925,0.429
26,"4","Xiang",FALSE,"highschool",TRUE,-0.15,0.75,0.6,0.817,0.429
27,"4","Xiang",FALSE,"college",TRUE,0.035,0.83,0.865,0.897,0.857
28,"2","Liu",FALSE,"college",FALSE,-0.01,1,0.99,0.983,0.857
29,"3","Xiang",TRUE,"college",TRUE,-0.06,0.99,0.93,0.965,0.857
30,"1","Liu",TRUE,"highschool",TRUE,0.26,0.73,0.99,0.931,0.571
31,"4","Xiang",FALSE,"none",TRUE,-0.02,0.91,0.89,0.91,0.714
32,"2","Liu",FALSE,"college",TRUE,0.01,0.84,0.85,0.875,0.714
33,"4","Xiang",FALSE,"none",TRUE,-0.075,0.98,0.905,0.962,0.619
34,"2","Liu",FALSE,"none",FALSE,0.055,0.62,0.675,0.692,0.571
35,"3","Xiang",TRUE,"college",FALSE,0.18,0.66,0.84,0.866,0.81
36,"3","Xiang",TRUE,"none",TRUE,-0.2,0.96,0.76,0.898,0.333
37,"1","Liu",TRUE,"highschool",TRUE,0.35,0.59,0.94,0.874,0.619
38,"4","Xiang",FALSE,"none",TRUE,-0.24,0.77,0.53,0.638,0.667
39,"1","Liu",TRUE,"highschool",TRUE,0.365,0.37,0.735,0.722,0.095
40,"2","Liu",FALSE,"none",TRUE,-0.03,0.96,0.93,0.95,0.619
41,"4","Xiang",FALSE,"college",TRUE,-0.025,0.94,0.915,0.918,0.762
42,"4","Xiang",FALSE,"college",TRUE,0.36,0.65,1.01,0.964,0.571
43,"4","Xiang",FALSE,"college",TRUE,0.12,0.84,0.96,0.938,0.571
44,"3","Xiang",TRUE,"college",FALSE,0.09,0.8,0.89,0.914,0.857
45,"4","Xiang",FALSE,"college",TRUE,0.02,0.99,1.01,0.999,0.762
46,"1","Liu",TRUE,"college",TRUE,-0.045,0.97,0.925,0.969,0.905
47,"2","Liu",FALSE,"highschool",TRUE,0.11,0.71,0.82,0.896,0.667
48,"3","Xiang",TRUE,"highschool",TRUE,0.35,0.11,0.46,0.611,0.571
49,"2","Liu",FALSE,"highschool",FALSE,0.25,0.71,0.96,0.876,0.667
50,"4","Xiang",FALSE,"college",TRUE,0.125,0.7,0.825,0.893,0.762
51,"1","Liu",TRUE,"none",TRUE,0.08,0.8,0.88,0.93,0.286
52,"4","Xiang",FALSE,"none",TRUE,-0.05,0.91,0.86,0.937,0.238
53,"4","Xiang",FALSE,"college",TRUE,0.11,0.8,0.91,0.94,0.714
54,"4","Xiang",FALSE,"highschool",FALSE,0.055,0.66,0.715,0.825,0.524
55,"2","Liu",FALSE,"none",TRUE,0.25,0.74,0.99,0.963,0.714
56,"1","Liu",TRUE,"college",FALSE,-0.1,0.97,0.87,0.924,0.762
57,"4","Xiang",FALSE,"highschool",TRUE,0.01,0.95,0.96,0.977,0.762
58,"4","Xiang",FALSE,"college",TRUE,0.15,0.75,0.9,0.924,0.524
59,"2","Liu",FALSE,"none",FALSE,0.005,0.86,0.865,0.923,0.476
60,"4","Xiang",FALSE,"none",TRUE,-0.02,0.9,0.88,0.909,0.619
61,"3","Xiang",TRUE,"none",TRUE,0.01,0.94,0.95,0.976,0.571
62,"3","Xiang",TRUE,"highschool",TRUE,0.45,0.42,0.87,0.822,0.619
63,"4","Xiang",FALSE,"college",TRUE,0.07,0.92,0.99,0.981,0.905
64,"4","Xiang",FALSE,"highschool",TRUE,0.34,0.58,0.92,0.926,0.286
65,"4","Xiang",FALSE,"highschool",FALSE,0.06,0.95,1.01,0.936,0.143
66,"4","Xiang",FALSE,"highschool",TRUE,0.01,0.89,0.9,0.926,0.714
67,"3","Xiang",TRUE,"none",TRUE,0.2,0.55,0.75,0.833,0.333
68,"1","Liu",TRUE,"college",TRUE,-0.035,1,0.965,0.97,0.905
69,"1","Liu",TRUE,"highschool",TRUE,0.2,0.5,0.7,0.769,0.524
70,"4","Xiang",FALSE,"none",TRUE,0.245,0.45,0.695,0.788,0.524
71,"2","Liu",FALSE,"none",FALSE,0.17,0.85,1.02,0.956,0.429
72,"4","Xiang",FALSE,"college",FALSE,0.015,0.67,0.685,0.747,0.81
73,"1","Liu",TRUE,"college",FALSE,0.08,0.84,0.92,0.905,0.524
74,"3","Xiang",TRUE,"none",TRUE,-0.045,0.64,0.595,0.802,0.619
75,"3","Xiang",TRUE,"none",FALSE,0.03,0.88,0.91,0.938,0.905
76,"2","Liu",FALSE,"none",FALSE,-0.09,0.67,0.58,0.581,0
77,"2","Liu",FALSE,"none",FALSE,-0.74,0.74,0,0.616,0.667
78,"4","Xiang",FALSE,"college",TRUE,0.04,0.76,0.8,0.894,0.524
79,"4","Xiang",FALSE,"college",TRUE,-0.04,0.94,0.9,0.947,0.333
