"","case","Applicant","Homeownership"
"1",1,"indiv","rent"
"2",2,"joint","own"
"3",3,"indiv","mortgage"
"4",4,"indiv","rent"
"5",5,"indiv","rent"
"6",6,"joint","mortgage"
"7",7,"indiv","mortgage"
"8",8,"indiv","rent"
"9",9,"joint","mortgage"
"10",10,"indiv","rent"
"11",11,"indiv","rent"
"12",12,"indiv","rent"
"13",13,"indiv","rent"
"14",14,"indiv","own"
"15",15,"indiv","mortgage"
"16",16,"indiv","own"
"17",17,"indiv","rent"
"18",18,"indiv","mortgage"
"19",19,"indiv","own"
"20",20,"joint","mortgage"
"21",21,"indiv","mortgage"
"22",22,"joint","own"
"23",23,"indiv","rent"
"24",24,"indiv","own"
"25",25,"indiv","mortgage"
"26",26,"indiv","rent"
"27",27,"indiv","rent"
"28",28,"indiv","mortgage"
"29",29,"joint","rent"
"30",30,"indiv","mortgage"
"31",31,"joint","mortgage"
"32",32,"indiv","mortgage"
"33",33,"indiv","rent"
"34",34,"indiv","mortgage"
"35",35,"indiv","rent"
"36",36,"indiv","mortgage"
"37",37,"indiv","mortgage"
"38",38,"joint","mortgage"
"39",39,"indiv","mortgage"
"40",40,"indiv","rent"
"41",41,"joint","rent"
"42",42,"joint","mortgage"
"43",43,"indiv","mortgage"
"44",44,"indiv","rent"
"45",45,"indiv","own"
"46",46,"indiv","own"
"47",47,"joint","mortgage"
"48",48,"indiv","rent"
"49",49,"indiv","mortgage"
"50",50,"indiv","mortgage"
"51",51,"indiv","rent"
"52",52,"joint","mortgage"
"53",53,"indiv","rent"
"54",54,"indiv","rent"
"55",55,"indiv","rent"
"56",56,"indiv","rent"
"57",57,"indiv","mortgage"
"58",58,"indiv","mortgage"
"59",59,"indiv","mortgage"
"60",60,"indiv","rent"
"61",61,"indiv","own"
"62",62,"indiv","mortgage"
"63",63,"joint","mortgage"
"64",64,"indiv","mortgage"
"65",65,"indiv","rent"
"66",66,"indiv","mortgage"
"67",67,"indiv","mortgage"
"68",68,"indiv","own"
"69",69,"indiv","mortgage"
"70",70,"indiv","rent"
"71",71,"indiv","mortgage"
"72",72,"indiv","mortgage"
"73",73,"joint","mortgage"
"74",74,"indiv","rent"
"75",75,"indiv","mortgage"
"76",76,"indiv","rent"
"77",77,"indiv","mortgage"
"78",78,"indiv","rent"
"79",79,"indiv","rent"
"80",80,"joint","rent"
"81",81,"indiv","own"
"82",82,"joint","mortgage"
"83",83,"joint","mortgage"
"84",84,"indiv","mortgage"
"85",85,"indiv","mortgage"
"86",86,"indiv","mortgage"
"87",87,"indiv","rent"
"88",88,"indiv","mortgage"
"89",89,"indiv","mortgage"
"90",90,"indiv","mortgage"
"91",91,"indiv","rent"
"92",92,"indiv","mortgage"
"93",93,"indiv","rent"
"94",94,"indiv","rent"
"95",95,"indiv","mortgage"
"96",96,"indiv","rent"
"97",97,"indiv","rent"
"98",98,"indiv","rent"
"99",99,"indiv","rent"
"100",100,"indiv","rent"
"101",101,"indiv","mortgage"
"102",102,"joint","mortgage"
"103",103,"indiv","mortgage"
"104",104,"indiv","mortgage"
"105",105,"indiv","rent"
"106",106,"indiv","own"
"107",107,"joint","mortgage"
"108",108,"indiv","mortgage"
"109",109,"indiv","mortgage"
"110",110,"indiv","rent"
"111",111,"indiv","mortgage"
"112",112,"indiv","rent"
"113",113,"joint","mortgage"
"114",114,"indiv","mortgage"
"115",115,"indiv","mortgage"
"116",116,"indiv","mortgage"
"117",117,"indiv","rent"
"118",118,"joint","mortgage"
"119",119,"indiv","mortgage"
"120",120,"indiv","mortgage"
"121",121,"indiv","rent"
"122",122,"indiv","own"
"123",123,"indiv","rent"
"124",124,"indiv","rent"
"125",125,"indiv","own"
"126",126,"indiv","mortgage"
"127",127,"indiv","rent"
"128",128,"indiv","rent"
"129",129,"indiv","own"
"130",130,"indiv","rent"
"131",131,"indiv","mortgage"
"132",132,"indiv","rent"
"133",133,"indiv","mortgage"
"134",134,"indiv","mortgage"
"135",135,"indiv","own"
"136",136,"indiv","rent"
"137",137,"indiv","mortgage"
"138",138,"indiv","mortgage"
"139",139,"indiv","mortgage"
"140",140,"indiv","mortgage"
"141",141,"indiv","rent"
"142",142,"joint","mortgage"
"143",143,"indiv","rent"
"144",144,"indiv","own"
"145",145,"indiv","mortgage"
"146",146,"indiv","rent"
"147",147,"indiv","rent"
"148",148,"indiv","own"
"149",149,"joint","rent"
"150",150,"indiv","own"
"151",151,"indiv","rent"
"152",152,"indiv","rent"
"153",153,"indiv","mortgage"
"154",154,"indiv","rent"
"155",155,"indiv","mortgage"
"156",156,"indiv","own"
"157",157,"indiv","rent"
"158",158,"indiv","mortgage"
"159",159,"indiv","mortgage"
"160",160,"indiv","mortgage"
"161",161,"indiv","rent"
"162",162,"indiv","rent"
"163",163,"indiv","rent"
"164",164,"indiv","mortgage"
"165",165,"indiv","mortgage"
"166",166,"indiv","mortgage"
"167",167,"indiv","mortgage"
"168",168,"indiv","own"
"169",169,"indiv","rent"
"170",170,"indiv","rent"
"171",171,"indiv","rent"
"172",172,"indiv","mortgage"
"173",173,"indiv","mortgage"
"174",174,"indiv","rent"
"175",175,"indiv","mortgage"
"176",176,"indiv","mortgage"
"177",177,"indiv","rent"
"178",178,"indiv","rent"
"179",179,"indiv","rent"
"180",180,"indiv","rent"
"181",181,"joint","mortgage"
"182",182,"indiv","rent"
"183",183,"indiv","mortgage"
"184",184,"indiv","rent"
"185",185,"indiv","rent"
"186",186,"joint","own"
"187",187,"indiv","mortgage"
"188",188,"indiv","own"
"189",189,"indiv","rent"
"190",190,"indiv","mortgage"
"191",191,"indiv","mortgage"
"192",192,"indiv","own"
"193",193,"joint","rent"
"194",194,"indiv","own"
"195",195,"indiv","rent"
"196",196,"indiv","rent"
"197",197,"indiv","rent"
"198",198,"indiv","own"
"199",199,"indiv","mortgage"
"200",200,"indiv","mortgage"
"201",201,"indiv","rent"
"202",202,"indiv","mortgage"
"203",203,"indiv","mortgage"
"204",204,"indiv","mortgage"
"205",205,"indiv","own"
"206",206,"indiv","mortgage"
"207",207,"indiv","mortgage"
"208",208,"indiv","mortgage"
"209",209,"indiv","mortgage"
"210",210,"indiv","rent"
"211",211,"indiv","rent"
"212",212,"indiv","own"
"213",213,"indiv","mortgage"
"214",214,"indiv","rent"
"215",215,"indiv","mortgage"
"216",216,"indiv","mortgage"
"217",217,"indiv","rent"
"218",218,"joint","mortgage"
"219",219,"indiv","rent"
"220",220,"joint","mortgage"
"221",221,"indiv","rent"
"222",222,"indiv","mortgage"
"223",223,"indiv","mortgage"
"224",224,"joint","mortgage"
"225",225,"indiv","mortgage"
"226",226,"indiv","rent"
"227",227,"indiv","mortgage"
"228",228,"indiv","mortgage"
"229",229,"indiv","mortgage"
"230",230,"indiv","mortgage"
"231",231,"indiv","rent"
"232",232,"indiv","own"
"233",233,"indiv","mortgage"
"234",234,"joint","rent"
"235",235,"indiv","mortgage"
"236",236,"indiv","rent"
"237",237,"indiv","rent"
"238",238,"indiv","mortgage"
"239",239,"indiv","mortgage"
"240",240,"indiv","mortgage"
"241",241,"indiv","mortgage"
"242",242,"indiv","mortgage"
"243",243,"indiv","mortgage"
"244",244,"indiv","rent"
"245",245,"indiv","rent"
"246",246,"joint","own"
"247",247,"joint","mortgage"
"248",248,"indiv","rent"
"249",249,"indiv","mortgage"
"250",250,"joint","mortgage"
"251",251,"joint","rent"
"252",252,"indiv","mortgage"
"253",253,"indiv","mortgage"
"254",254,"indiv","mortgage"
"255",255,"indiv","own"
"256",256,"indiv","own"
"257",257,"indiv","rent"
"258",258,"indiv","mortgage"
"259",259,"joint","mortgage"
"260",260,"indiv","rent"
"261",261,"indiv","rent"
"262",262,"indiv","rent"
"263",263,"indiv","own"
"264",264,"joint","rent"
"265",265,"indiv","mortgage"
"266",266,"indiv","mortgage"
"267",267,"joint","own"
"268",268,"indiv","mortgage"
"269",269,"indiv","mortgage"
"270",270,"indiv","mortgage"
"271",271,"indiv","mortgage"
"272",272,"indiv","mortgage"
"273",273,"indiv","mortgage"
"274",274,"indiv","mortgage"
"275",275,"indiv","mortgage"
"276",276,"indiv","rent"
"277",277,"indiv","mortgage"
"278",278,"indiv","mortgage"
"279",279,"indiv","mortgage"
"280",280,"indiv","rent"
"281",281,"indiv","mortgage"
"282",282,"indiv","mortgage"
"283",283,"indiv","rent"
"284",284,"indiv","own"
"285",285,"indiv","mortgage"
"286",286,"indiv","rent"
"287",287,"indiv","rent"
"288",288,"indiv","mortgage"
"289",289,"indiv","mortgage"
"290",290,"indiv","mortgage"
"291",291,"indiv","own"
"292",292,"indiv","rent"
"293",293,"indiv","mortgage"
"294",294,"indiv","rent"
"295",295,"indiv","mortgage"
"296",296,"indiv","rent"
