"Applicant" "Homeownership"
"1" "indiv" "rent"
"2" "joint" "own"
"3" "indiv" "mortgage"
"4" "indiv" "rent"
"5" "indiv" "rent"
"6" "joint" "mortgage"
"7" "indiv" "mortgage"
"8" "indiv" "rent"
"9" "joint" "mortgage"
"10" "indiv" "rent"
"11" "indiv" "rent"
"12" "indiv" "rent"
"13" "indiv" "rent"
"14" "indiv" "own"
"15" "indiv" "mortgage"
"16" "indiv" "own"
"17" "indiv" "rent"
"18" "indiv" "mortgage"
"19" "indiv" "own"
"20" "joint" "mortgage"
"21" "indiv" "mortgage"
"22" "joint" "own"
"23" "indiv" "rent"
"24" "indiv" "own"
"25" "indiv" "mortgage"
"26" "indiv" "rent"
"27" "indiv" "rent"
"28" "indiv" "mortgage"
"29" "joint" "rent"
"30" "indiv" "mortgage"
"31" "joint" "mortgage"
"32" "indiv" "mortgage"
"33" "indiv" "rent"
"34" "indiv" "mortgage"
"35" "indiv" "rent"
"36" "indiv" "mortgage"
"37" "indiv" "mortgage"
"38" "joint" "mortgage"
"39" "indiv" "mortgage"
"40" "indiv" "rent"
"41" "joint" "rent"
"42" "joint" "mortgage"
"43" "indiv" "mortgage"
"44" "indiv" "rent"
"45" "indiv" "own"
"46" "indiv" "own"
"47" "joint" "mortgage"
"48" "indiv" "rent"
"49" "indiv" "mortgage"
"50" "indiv" "mortgage"
"51" "indiv" "rent"
"52" "joint" "mortgage"
"53" "indiv" "rent"
"54" "indiv" "rent"
"55" "indiv" "rent"
"56" "indiv" "rent"
"57" "indiv" "mortgage"
"58" "indiv" "mortgage"
"59" "indiv" "mortgage"
"60" "indiv" "rent"
"61" "indiv" "own"
"62" "indiv" "mortgage"
"63" "joint" "mortgage"
"64" "indiv" "mortgage"
"65" "indiv" "rent"
"66" "indiv" "mortgage"
"67" "indiv" "mortgage"
"68" "indiv" "own"
"69" "indiv" "mortgage"
"70" "indiv" "rent"
"71" "indiv" "mortgage"
"72" "indiv" "mortgage"
"73" "joint" "mortgage"
"74" "indiv" "rent"
"75" "indiv" "mortgage"
"76" "indiv" "rent"
"77" "indiv" "mortgage"
"78" "indiv" "rent"
"79" "indiv" "rent"
"80" "joint" "rent"
"81" "indiv" "own"
"82" "joint" "mortgage"
"83" "joint" "mortgage"
"84" "indiv" "mortgage"
"85" "indiv" "mortgage"
"86" "indiv" "mortgage"
"87" "indiv" "rent"
"88" "indiv" "mortgage"
"89" "indiv" "mortgage"
"90" "indiv" "mortgage"
"91" "indiv" "rent"
"92" "indiv" "mortgage"
"93" "indiv" "rent"
"94" "indiv" "rent"
"95" "indiv" "mortgage"
"96" "indiv" "rent"
"97" "indiv" "rent"
"98" "indiv" "rent"
"99" "indiv" "rent"
"100" "indiv" "rent"
"101" "indiv" "mortgage"
"102" "joint" "mortgage"
"103" "indiv" "mortgage"
"104" "indiv" "mortgage"
"105" "indiv" "rent"
"106" "indiv" "own"
"107" "joint" "mortgage"
"108" "indiv" "mortgage"
"109" "indiv" "mortgage"
"110" "indiv" "rent"
"111" "indiv" "mortgage"
"112" "indiv" "rent"
"113" "joint" "mortgage"
"114" "indiv" "mortgage"
"115" "indiv" "mortgage"
"116" "indiv" "mortgage"
"117" "indiv" "rent"
"118" "joint" "mortgage"
"119" "indiv" "mortgage"
"120" "indiv" "mortgage"
"121" "indiv" "rent"
"122" "indiv" "own"
"123" "indiv" "rent"
"124" "indiv" "rent"
"125" "indiv" "own"
"126" "indiv" "mortgage"
"127" "indiv" "rent"
"128" "indiv" "rent"
"129" "indiv" "own"
"130" "indiv" "rent"
"131" "indiv" "mortgage"
"132" "indiv" "rent"
"133" "indiv" "mortgage"
"134" "indiv" "mortgage"
"135" "indiv" "own"
"136" "indiv" "rent"
"137" "indiv" "mortgage"
"138" "indiv" "mortgage"
"139" "indiv" "mortgage"
"140" "indiv" "mortgage"
"141" "indiv" "rent"
"142" "joint" "mortgage"
"143" "indiv" "rent"
"144" "indiv" "own"
"145" "indiv" "mortgage"
"146" "indiv" "rent"
"147" "indiv" "rent"
"148" "indiv" "own"
"149" "joint" "rent"
"150" "indiv" "own"
"151" "indiv" "rent"
"152" "indiv" "rent"
"153" "indiv" "mortgage"
"154" "indiv" "rent"
"155" "indiv" "mortgage"
"156" "indiv" "own"
"157" "indiv" "rent"
"158" "indiv" "mortgage"
"159" "indiv" "mortgage"
"160" "indiv" "mortgage"
"161" "indiv" "rent"
"162" "indiv" "rent"
"163" "indiv" "rent"
"164" "indiv" "mortgage"
"165" "indiv" "mortgage"
"166" "indiv" "mortgage"
"167" "indiv" "mortgage"
"168" "indiv" "own"
"169" "indiv" "rent"
"170" "indiv" "rent"
"171" "indiv" "rent"
"172" "indiv" "mortgage"
"173" "indiv" "mortgage"
"174" "indiv" "rent"
"175" "indiv" "mortgage"
"176" "indiv" "mortgage"
"177" "indiv" "rent"
"178" "indiv" "rent"
"179" "indiv" "rent"
"180" "indiv" "rent"
"181" "joint" "mortgage"
"182" "indiv" "rent"
"183" "indiv" "mortgage"
"184" "indiv" "rent"
"185" "indiv" "rent"
"186" "joint" "own"
"187" "indiv" "mortgage"
"188" "indiv" "own"
"189" "indiv" "rent"
"190" "indiv" "mortgage"
"191" "indiv" "mortgage"
"192" "indiv" "own"
"193" "joint" "rent"
"194" "indiv" "own"
"195" "indiv" "rent"
"196" "indiv" "rent"
"197" "indiv" "rent"
"198" "indiv" "own"
