State		popn.2011	popn.2010	popn.2000 house.seats	electors	pphs10	pphs00	ppe00	pct.pop
California	37691912	37253956	33871648	53	55	702905	639088 615848	11.91
Texas		25674681	25145561	20851820	32	34	785799	651619	613289	8.04
New.York	19465197	19378102	18976457	29	31	668210	654361 612144	6.19
Florida		19057542	18801310	15982378	25	27	752052	639295 591940	6.01
Illinois	12869257	12830632	12419293	19	21	675296	653647 591395	4.10
Pennsylvania	12742886	12702379	12281054	19	21	668546	646371 584812	4.06
Ohio		11544951	11536504	11353140	18	20	640917	630730	567657	3.69
Michigan	9876187	9883640	9938444	15	17	658909	662563 584614	3.16
Georgia		9815210	9687653	8186453	13	15	745204	629727 545764	3.10
North.Carolina	9656401	9535483	8049313	13	15	733499	619178 536621	3.05
New.Jersey	8821155	8791894	8414350	13	15	676300	647258 560957	2.81
Virginia	8096604	8001024	7078515	11	13	727366	643501 544501	2.56
Washington	6830038	6724540	5894121	9	11	747171	654902 535829	2.15
Massachusetts	6587536	6547629	6349097	10	12	654763	634910 529091	2.04
Indiana		6516922	6483802	6080485	9	11	720422	675609 552771	2.07
Arizona		6482505	6392017	5130632	8	10	799002	641329 513063	2.04
Tennessee	6403353	6346105	5689283	9	11	705123	632143 517208	2.03
Missouri	6010688	5988927	5595211	9	11	665436	621690 508656	1.91
Maryland	5828289	5773552	5296486	8	10	721694	662061 529649	1.85
Wisconsin	5711767	5686986	5363675	8	10	710873	670459 536368	1.82
Minnesota	5344861	5303925	4919479	8	10	662991	614935 491948	1.70
Colorado	5116769	5029196	4301261	7	9	720704	614466 477918	1.61
Alabama		4802740	4779736	4447100	7	9	682819	635300 494122	1.53
South.Carolina	4679230	4625364	4012012	6	8	770894	668669 501502	1.48
Louisiana	4574836	4533372	4468976	7	9	647625	638425 496553	1.45
Kentucky	4369356	4339367	4041769	6	8	723228	673628 505221	1.39
Oregon		3871859	3831074	3421399	5	7	766215	684280	488771	1.22
Oklahoma	3791508	3751351	3450654	5	7	750270	690131 492951	1.20
Puerto.Rico	3706690	3725789	3808610	1	0	NA	NA	NA	1.19
Connecticut	3580709	3574097	3405565	5	7	714819	681113 486509	1.14
Iowa		3062309	3046355	2926324	5	7	609271	585265	418046	0.97
Mississippi	2978512	2967297	2844658	4	6	741824	711165 474110	0.95
Arkansas	2937979	2915918	2673400	4	6	728980	668350 445567	0.93
Kansas		2871238	2853118	2688418	4	6	713280	672105	448070	0.91
Utah		2817222	2763885	2233169	3	5	921295	744390	446634	0.88
Nevada		2723322	2700551	1998257	3	5	900184	666086	399651	0.86
New.Mexico	2082224	2059179	1819046	3	5	686393	606349 363809	0.66
West.Virginia	1855364	1852994	1808344	3	5	617665	602781 361669	0.59
Nebraska	1842641	1826341	1711263	3	5	608780	570421 342253	0.58
Idaho		1584985	1567582	1293953	2	4	783791	646977	323488	0.51
Hawaii		1374810	1360301	1211537	2	4	680151	605769	302884	0.43
Maine		1328188	1328361	1274923	2	4	664181	637462	318731	0.42
New.Hampshire	1318194	1316470	1235786	2	4	658235	617893 308947	0.42
Rhode.Island	1051302	1052567	1048319	2	4	526284	524160 262080	0.34
Montana		998199	989415	902195	1	3	999243	902195	300732	0.32
Delaware	907135	897934	783600	1	3	900877	783600	261200	0.29
South.Dakota	824082	814180	754844	1	3	814180	754844	251615	0.26
Alaska		722718	710231	626932	1	3	710231	626932	208977	0.23
North.Dakota	683932	672591	642200	1	3	672591	642200	214067	0.21
Vermont		626431	625741	608827	1	3	625741	608827	202942	0.20
Washington.DC	617996	601723	572059	1	3	NA	NA	190686	0.19
Wyoming		568158	563626	493782	1	3	563626	493782	164594	0.18
