bob.wt	length	period
41	233	3.066
41	233	3.04
41	233	3.051
41	212	2.927
41	212	2.901
41	212	2.91
41	186.25	2.733
41	186.25	2.753
41	186.25	2.724
41	159	2.527
41	159	2.542
41	159	2.554
41	136.75	2.363
41	136.75	2.354
41	136.75	2.343
41	109.5	2.096
41	109.5	2.09
41	109.5	2.093
41	87.2	1.874
41	87.2	1.877
41	87.2	1.867
41	64.25	1.613
41	64.25	1.609
41	64.25	1.604
140	35.4	1.182
140	35.4	1.2
140	35.4	1.18
140	47.3	1.383
140	47.3	1.376
140	47.3	1.39
140	61.8	1.559
140	61.8	1.584
140	61.8	1.586
140	78.1	1.77
140	78.1	1.767
140	78.1	1.764
140	98.8	1.99
140	98.8	1.996
140	98.8	1.997
140	114.7	2.153
140	114.7	2.139
140	114.7	2.151
140	139	2.373
140	139	2.36
140	139	2.357
140	160	2.533
140	160	2.524
140	160	2.558
140	197.55	2.823
140	197.55	2.831
140	197.55	2.814
140	239.55	3.091
140	239.55	3.097
140	239.55	3.088
