"year","muniPrecip","muniPop","muniUse"
2011,21,3354497.149,125.8
2010,25.6,3322498.003,125.7
2009,14.5,3288622.857,137.7
2008,15.1,3248004.712,139.3
2007,18.8,3209555.566,146.3
2006,17.4,3171804.421,144.4
2005,22.6,3137672.275,132.8
2004,22.8,3112944.13,130.5
2003,16.4,3083010.455,140
2002,28.9,3060250.255,121.8
2001,17.1,3035993.055,130.6
2000,17.6,2999533.855,130
1999,22.7,2956537.655,120.9
1998,20.1,2910837,123.3
1997,22.3,2870537,119.1
1996,13.5,2832843,122.9
1995,20.1,2794762,113.3
1994,18.6,2757207,111.4
1993,27.4,2717907,100.9
1992,18.6,2674401,108.2
1991,25.2,2634124,105.3
1990,23.7,2594291,101
1989,16,2550282,111.9
1988,12.3,2512000,116.1
